queryPath, docId, milliseconds
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 17918
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 16794
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 17428
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 14960
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 14473
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 15277
queries/Bioref-PM/experiment-zero.txt, 1271, 1
queries/Bioref-PM/experiment-zero.txt, 1272, 1
queries/Bioref-PM/experiment-zero.txt, 1273, 2
queries/Bioref-PM/steps.txt, 1271, 13
queries/Bioref-PM/steps.txt, 1272, 13
queries/Bioref-PM/steps.txt, 1273, 14
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 69847
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 69598
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 70053
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 150829
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 147726
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 153562
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 1549
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 1518
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 1582
