queryPath, docId, milliseconds
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 10257
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 9905
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 10195
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 8878
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 8872
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 8986
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1271, 156
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1272, 178
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1273, 157
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1271, 1
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1272, 1
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1273, 1
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1271, 138
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1272, 153
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1273, 123
experiments/bioref/queries/Bioref-PM/steps.txt, 1271, 7
experiments/bioref/queries/Bioref-PM/steps.txt, 1272, 10
experiments/bioref/queries/Bioref-PM/steps.txt, 1273, 10
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 44521
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 36167
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 37451
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 81984
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 86428
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 89939
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 848
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 799
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 845
