queryPath, docId, milliseconds
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 11150
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 9042
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 10584
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 8019
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 7696
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 8049
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1271, 143
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1272, 124
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1273, 137
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1271, 1
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1272, 1
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1273, 1
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1271, 146
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1272, 123
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1273, 121
experiments/bioref/queries/Bioref-PM/steps.txt, 1271, 7
experiments/bioref/queries/Bioref-PM/steps.txt, 1272, 7
experiments/bioref/queries/Bioref-PM/steps.txt, 1273, 8
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 35544
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 34860
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 37569
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 81083
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 78961
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 82661
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 800
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 768
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 816
