queryPath, docId, milliseconds
experiments/atweb/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 19926
experiments/atweb/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 18887
experiments/atweb/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 19468
experiments/atweb/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 16027
experiments/atweb/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 15659
experiments/atweb/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 16403
experiments/atweb/queries/Bioref-PM/integrity-constraint.txt, 1271, 172
experiments/atweb/queries/Bioref-PM/integrity-constraint.txt, 1272, 178
experiments/atweb/queries/Bioref-PM/integrity-constraint.txt, 1273, 172
experiments/atweb/queries/Bioref-PM/experiment-zero.txt, 1271, 2
experiments/atweb/queries/Bioref-PM/experiment-zero.txt, 1272, 2
experiments/atweb/queries/Bioref-PM/experiment-zero.txt, 1273, 1
experiments/atweb/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1271, 177
experiments/atweb/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1272, 176
experiments/atweb/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1273, 173
experiments/atweb/queries/Bioref-PM/steps.txt, 1271, 13
experiments/atweb/queries/Bioref-PM/steps.txt, 1272, 13
experiments/atweb/queries/Bioref-PM/steps.txt, 1273, 14
experiments/atweb/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 72887
experiments/atweb/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 72297
experiments/atweb/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 74569
experiments/atweb/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 159980
experiments/atweb/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 160451
experiments/atweb/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 166370
experiments/atweb/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 1655
experiments/atweb/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 1636
experiments/atweb/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 1687
